Season,Date,Case,Hour,Customer,LoadKW,PVKW,ChargeKW,DischargeKW,StartEnergyKWh,EndEnergyKWh,NetImportKW,BuyEURPerKWh
winter,2020-01-19,POOL_FLAT,2,10,2.87623,0.0,0.0,0.0,2.0,2.0,2.87623,0.2007
winter,2020-01-19,POOL_FLAT,2,11,0.22441,0.0,0.0,0.0,2.0,2.0,0.22441,0.2007
winter,2020-01-19,POOL_FLAT,2,12,0.10595,0.000675,0.0,0.0,2.0,2.0,0.10527500000000001,0.2007
winter,2020-01-19,POOL_FLAT,2,13,0.18572,0.0001,0.0,0.0,2.0,2.0,0.18562,0.2007
winter,2020-01-19,POOL_FLAT,2,14,0.2545,0.0,0.0,0.0,2.0,2.0,0.2545,0.2007
winter,2020-01-19,POOL_FLAT,2,15,0.17254,0.00068,0.0,0.0,2.0,2.0,0.17186,0.2007
winter,2020-01-19,POOL_FLAT,2,16,0.31737,0.0,0.0,0.0,2.0,2.0,0.31737,0.2007
winter,2020-01-19,POOL_FLAT,2,17,0.04118,0.0,0.0,0.0,2.0,2.0,0.04118,0.2007
winter,2020-01-19,POOL_FLAT,2,18,0.6720499999999999,0.0,0.0,0.0,2.0,2.0,0.6720499999999999,0.2007
winter,2020-01-19,POOL_FLAT,2,19,0.16955,0.0,0.0,0.0,2.0,2.0,0.16955,0.2007
winter,2020-01-19,POOL_FLAT,2,20,0.11077,0.0,0.0,0.0,2.0,2.0,0.11077,0.2007
winter,2020-01-19,POOL_FLAT,2,21,0.49073,0.0,0.0,0.0,2.0,2.0,0.49073,0.2007
winter,2020-01-19,POOL_FLAT,2,22,0.16926,0.000675,0.0,0.0,2.0,2.0,0.16858499999999998,0.2007
winter,2020-01-19,POOL_FLAT,2,23,0.280615,0.0001,0.0,0.0,2.0,2.0,0.280515,0.2007
winter,2020-01-19,POOL_FLAT,2,24,1.21503,0.0,0.0,0.0,2.0,2.0,1.21503,0.2007
winter,2020-01-19,POOL_FLAT,2,25,0.08989,0.00068,0.0,0.0,2.0,2.0,0.08921,0.2007
winter,2020-01-19,POOL_FLAT,2,26,0.22774,0.0,0.0,0.0,2.0,2.0,0.22774,0.2007
winter,2020-01-19,POOL_FLAT,2,27,3.23071,0.0,0.0,0.0,2.0,2.0,3.23071,0.2007
winter,2020-01-19,POOL_FLAT,2,28,3.2867800000000003,0.0,0.0,0.0,2.0,2.0,3.2867800000000003,0.2007
winter,2020-01-19,POOL_FLAT,2,29,0.212445,0.0,0.0,0.0,2.0,2.0,0.212445,0.2007
winter,2020-01-19,POOL_FLAT,2,30,2.87623,0.0,0.0,0.0,2.0,2.0,2.87623,0.2007
winter,2020-01-19,POOL_FLAT,2,31,0.22441,0.0,0.0,0.0,2.0,2.0,0.22441,0.2007
winter,2020-01-19,POOL_FLAT,2,32,0.10595,0.000675,0.0,0.0,2.0,2.0,0.10527500000000001,0.2007
winter,2020-01-19,POOL_FLAT,2,33,0.18572,0.0001,0.0,0.0,2.0,2.0,0.18562,0.2007
winter,2020-01-19,POOL_FLAT,2,34,0.2545,0.0,0.0,0.0,2.0,2.0,0.2545,0.2007
winter,2020-01-19,POOL_FLAT,2,35,0.17254,0.00068,0.0,0.0,2.0,2.0,0.17186,0.2007
winter,2020-01-19,POOL_FLAT,2,36,0.31737,0.0,0.0,0.0,2.0,2.0,0.31737,0.2007
winter,2020-01-19,POOL_FLAT,2,37,0.04118,0.0,0.0,0.0,2.0,2.0,0.04118,0.2007
winter,2020-01-19,POOL_FLAT,2,38,0.6720499999999999,0.0,0.0,0.0,2.0,2.0,0.6720499999999999,0.2007
winter,2020-01-19,POOL_FLAT,2,39,0.16955,0.0,0.0,0.0,2.0,2.0,0.16955,0.2007
winter,2020-01-19,POOL_FLAT,2,40,0.11077,0.0,0.0,0.0,2.0,2.0,0.11077,0.2007
winter,2020-01-19,POOL_FLAT,2,41,0.49073,0.0,0.0,0.0,2.0,2.0,0.49073,0.2007
winter,2020-01-19,POOL_FLAT,2,42,0.16926,0.000675,0.0,0.0,2.0,2.0,0.16858499999999998,0.2007
winter,2020-01-19,POOL_FLAT,2,43,0.280615,0.0001,0.0,0.0,2.0,2.0,0.280515,0.2007
winter,2020-01-19,POOL_FLAT,2,44,1.21503,0.0,0.0,0.0,2.0,2.0,1.21503,0.2007
winter,2020-01-19,POOL_FLAT,2,45,0.08989,0.00068,0.0,0.0,2.0,2.0,0.08921,0.2007
winter,2020-01-19,POOL_FLAT,2,46,0.22774,0.0,0.0,0.0,2.0,2.0,0.22774,0.2007
winter,2020-01-19,POOL_FLAT,2,47,3.23071,0.0,0.0,0.0,2.0,2.0,3.23071,0.2007
winter,2020-01-19,POOL_FLAT,2,48,3.2867800000000003,0.0,0.0,0.0,2.0,2.0,3.2867800000000003,0.2007
winter,2020-01-19,POOL_FLAT,2,49,0.212445,0.0,0.0,0.0,2.0,2.0,0.212445,0.2007
winter,2020-01-19,POOL_FLAT,2,50,2.87623,0.0,0.0,0.0,2.0,2.0,2.87623,0.2007
winter,2020-01-19,POOL_FLAT,2,51,0.22441,0.0,0.0,0.0,2.0,2.0,0.22441,0.2007
winter,2020-01-19,POOL_FLAT,2,52,0.10595,0.000675,0.0,0.0,2.0,2.0,0.10527500000000001,0.2007
winter,2020-01-19,POOL_FLAT,2,53,0.18572,0.0001,0.0,0.0,2.0,2.0,0.18562,0.2007
winter,2020-01-19,POOL_FLAT,2,54,0.2545,0.0,0.0,0.0,2.0,2.0,0.2545,0.2007
winter,2020-01-19,POOL_FLAT,2,55,0.17254,0.00068,0.0,0.0,2.0,2.0,0.17186,0.2007
winter,2020-01-19,POOL_FLAT,3,1,0.465755,0.0,0.0,0.0,2.0,2.0,0.465755,0.2007
winter,2020-01-19,POOL_FLAT,3,2,0.16897,0.0,0.0,0.0,2.0,2.0,0.16897,0.2007
winter,2020-01-19,POOL_FLAT,3,3,0.1866399999999999,0.0001199999999999,0.0,0.0,2.0,2.0,0.18652,0.2007
winter,2020-01-19,POOL_FLAT,3,4,1.16099,0.0,0.0,0.0,2.0,2.0,1.16099,0.2007
winter,2020-01-19,POOL_FLAT,3,5,0.09126,0.0,0.0,0.0,2.0,2.0,0.09126,0.2007
winter,2020-01-19,POOL_FLAT,3,6,0.02234,0.0,0.0,0.0,2.0,2.0,0.02234,0.2007
winter,2020-01-19,POOL_FLAT,3,7,3.109,0.0,0.0,0.0,2.0,2.0,3.109,0.2007
winter,2020-01-19,POOL_FLAT,3,8,3.2398200000000004,0.0,0.0,0.0,2.0,2.0,3.2398200000000004,0.2007
winter,2020-01-19,POOL_FLAT,3,9,0.42926,0.0,0.0,0.0,2.0,2.0,0.42926,0.2007
winter,2020-01-19,POOL_FLAT,3,10,2.0835749999999997,0.0,0.0,0.0,2.0,2.0,2.0835749999999997,0.2007
winter,2020-01-19,POOL_FLAT,3,11,0.25261,0.0,0.0,0.0,2.0,2.0,0.25261,0.2007
winter,2020-01-19,POOL_FLAT,3,12,0.137175,0.0,0.0,0.0,2.0,2.0,0.137175,0.2007
winter,2020-01-19,POOL_FLAT,3,13,0.18566,0.0001199999999999,0.0,0.0,2.0,2.0,0.1855400000000001,0.2007
winter,2020-01-19,POOL_FLAT,3,14,0.23723,0.0,0.0,0.0,2.0,2.0,0.23723,0.2007
winter,2020-01-19,POOL_FLAT,3,15,0.15339,0.0,0.0,0.0,2.0,2.0,0.15339,0.2007
winter,2020-01-19,POOL_FLAT,3,16,0.30463,0.0,0.0,0.0,2.0,2.0,0.30463,0.2007
winter,2020-01-19,POOL_FLAT,3,17,0.04154,0.0,0.0,0.0,2.0,2.0,0.04154,0.2007
winter,2020-01-19,POOL_FLAT,3,18,0.31318,0.0,0.0,0.0,2.0,2.0,0.31318,0.2007
winter,2020-01-19,POOL_FLAT,3,19,0.16728,0.0,0.0,0.0,2.0,2.0,0.16728,0.2007
winter,2020-01-19,POOL_FLAT,3,20,0.06895,0.0,0.0,0.0,2.0,2.0,0.06895,0.2007
winter,2020-01-19,POOL_FLAT,3,21,0.465755,0.0,0.0,0.0,2.0,2.0,0.465755,0.2007
winter,2020-01-19,POOL_FLAT,3,22,0.16897,0.0,0.0,0.0,2.0,2.0,0.16897,0.2007
winter,2020-01-19,POOL_FLAT,3,23,0.1866399999999999,0.0001199999999999,0.0,0.0,2.0,2.0,0.18652,0.2007
winter,2020-01-19,POOL_FLAT,3,24,1.16099,0.0,0.0,0.0,2.0,2.0,1.16099,0.2007
winter,2020-01-19,POOL_FLAT,3,25,0.09126,0.0,0.0,0.0,2.0,2.0,0.09126,0.2007
winter,2020-01-19,POOL_FLAT,3,26,0.02234,0.0,0.0,0.0,2.0,2.0,0.02234,0.2007
winter,2020-01-19,POOL_FLAT,3,27,3.109,0.0,0.0,0.0,2.0,2.0,3.109,0.2007
winter,2020-01-19,POOL_FLAT,3,28,3.2398200000000004,0.0,0.0,0.0,2.0,2.0,3.2398200000000004,0.2007
winter,2020-01-19,POOL_FLAT,3,29,0.42926,0.0,0.0,0.0,2.0,2.0,0.42926,0.2007
winter,2020-01-19,POOL_FLAT,3,30,2.0835749999999997,0.0,0.0,0.0,2.0,2.0,2.0835749999999997,0.2007
winter,2020-01-19,POOL_FLAT,3,31,0.25261,0.0,0.0,0.0,2.0,2.0,0.25261,0.2007
winter,2020-01-19,POOL_FLAT,3,32,0.137175,0.0,0.0,0.0,2.0,2.0,0.137175,0.2007
winter,2020-01-19,POOL_FLAT,3,33,0.18566,0.0001199999999999,0.0,0.0,2.0,2.0,0.1855400000000001,0.2007
winter,2020-01-19,POOL_FLAT,3,34,0.23723,0.0,0.0,0.0,2.0,2.0,0.23723,0.2007
winter,2020-01-19,POOL_FLAT,3,35,0.15339,0.0,0.0,0.0,2.0,2.0,0.15339,0.2007
winter,2020-01-19,POOL_FLAT,3,36,0.30463,0.0,0.0,0.0,2.0,2.0,0.30463,0.2007
winter,2020-01-19,POOL_FLAT,3,37,0.04154,0.0,0.0,0.0,2.0,2.0,0.04154,0.2007
winter,2020-01-19,POOL_FLAT,3,38,0.31318,0.0,0.0,0.0,2.0,2.0,0.31318,0.2007
winter,2020-01-19,POOL_FLAT,3,39,0.16728,0.0,0.0,0.0,2.0,2.0,0.16728,0.2007
winter,2020-01-19,POOL_FLAT,3,40,0.06895,0.0,0.0,0.0,2.0,2.0,0.06895,0.2007
winter,2020-01-19,POOL_FLAT,3,41,0.465755,0.0,0.0,0.0,2.0,2.0,0.465755,0.2007
winter,2020-01-19,POOL_FLAT,3,42,0.16897,0.0,0.0,0.0,2.0,2.0,0.16897,0.2007
winter,2020-01-19,POOL_FLAT,3,43,0.1866399999999999,0.0001199999999999,0.0,0.0,2.0,2.0,0.18652,0.2007
winter,2020-01-19,POOL_FLAT,3,44,1.16099,0.0,0.0,0.0,2.0,2.0,1.16099,0.2007
winter,2020-01-19,POOL_FLAT,3,45,0.09126,0.0,0.0,0.0,2.0,2.0,0.09126,0.2007
winter,2020-01-19,POOL_FLAT,3,46,0.02234,0.0,0.0,0.0,2.0,2.0,0.02234,0.2007
winter,2020-01-19,POOL_FLAT,3,47,3.109,0.0,0.0,0.0,2.0,2.0,3.109,0.2007
winter,2020-01-19,POOL_FLAT,3,48,3.2398200000000004,0.0,0.0,0.0,2.0,2.0,3.2398200000000004,0.2007
winter,2020-01-19,POOL_FLAT,3,49,0.42926,0.0,0.0,0.0,2.0,2.0,0.42926,0.2007
winter,2020-01-19,POOL_FLAT,3,50,2.0835749999999997,0.0,0.0,0.0,2.0,2.0,2.0835749999999997,0.2007
winter,2020-01-19,POOL_FLAT,3,51,0.25261,0.0,0.0,0.0,2.0,2.0,0.25261,0.2007
winter,2020-01-19,POOL_FLAT,3,52,0.137175,0.0,0.0,0.0,2.0,2.0,0.137175,0.2007
winter,2020-01-19,POOL_FLAT,3,53,0.18566,0.0001199999999999,0.0,0.0,2.0,2.0,0.1855400000000001,0.2007
winter,2020-01-19,POOL_FLAT,3,54,0.23723,0.0,0.0,0.0,2.0,2.0,0.23723,0.2007
winter,2020-01-19,POOL_FLAT,3,55,0.15339,0.0,0.0,0.0,2.0,2.0,0.15339,0.2007
winter,2020-01-19,POOL_FLAT,4,1,0.4915799999999999,0.0,0.0,0.0,2.0,2.0,0.4915799999999999,0.2007
winter,2020-01-19,POOL_FLAT,4,2,0.12237,0.0,0.0,0.0,2.0,2.0,0.12237,0.2007
winter,2020-01-19,POOL_FLAT,4,3,0.21517,0.0,0.0,0.0,2.0,2.0,0.21517,0.2007
winter,2020-01-19,POOL_FLAT,4,4,1.13746,0.0,0.0,0.0,2.0,2.0,1.13746,0.2007
winter,2020-01-19,POOL_FLAT,4,5,0.09315,0.0,0.0,0.0,2.0,2.0,0.09315,0.2007
winter,2020-01-19,POOL_FLAT,4,6,0.32393,0.0,0.0,0.0,2.0,2.0,0.32393,0.2007
winter,2020-01-19,POOL_FLAT,4,7,0.5422100000000001,0.0,0.0,0.0,2.0,2.0,0.5422100000000001,0.2007
winter,2020-01-19,POOL_FLAT,4,8,0.34132,0.0,0.0,0.0,2.0,2.0,0.34132,0.2007
winter,2020-01-19,POOL_FLAT,4,9,0.19088,0.0,0.0,0.0,2.0,2.0,0.19088,0.2007
winter,2020-01-19,POOL_FLAT,4,10,0.1279,0.0,0.0,0.0,2.0,2.0,0.1279,0.2007
winter,2020-01-19,POOL_FLAT,4,11,0.22688,0.0,0.0,0.0,2.0,2.0,0.22688,0.2007
