Hour,SourceImportKW,SourceKvar,NetCustomerKW,LossKW,LineLossKW,TransformerKVA,TransformerLoadingPercent,BalanceResidualKW,VUFSequenceDifference,Converged,Iterations,Season,Date,Case
4,12.424705966345506,4.104066029765827,12.379645,0.045060956823236256,0.04321579300561105,13.084979034255229,3.738565438358637,9.522269903139424e-09,1.7180701306074297e-14,True,5,summer,2020-06-21,POOL_TOU
5,21.532589851592178,7.116949647789753,21.40638,0.12620985485828112,0.12080594896424307,22.678258266589815,6.479502361882804,3.2661018889434956e-09,1.4835355166553654e-14,True,5,summer,2020-06-21,POOL_TOU
6,26.81786984683259,9.274851575668272,26.592309999999998,0.22555987041112832,0.21658447004753856,28.3764165262759,8.107547578935971,2.3578536206825262e-08,1.1324274851176597e-14,True,5,summer,2020-06-21,POOL_TOU
7,24.25091804802172,8.447373470673382,23.94358195270497,0.30733617147685743,0.29753824708586335,25.680053440851882,7.337158125957681,7.616010799793571e-08,1.2573275753879898e-14,True,5,summer,2020-06-21,POOL_TOU
8,0.03200619247349766,7.371647824599613,2.498001805406602e-16,0.0320061795269937,0.03137751481442416,7.371717306448877,2.1062049446996793,1.2946503709365675e-08,2.456368441983159e-14,True,5,summer,2020-06-21,POOL_TOU
9,0.04789021214444074,9.419160948369019,-2.220446049250313e-16,0.04789020299246422,0.046890429497169865,9.419282692630079,2.691223626465737,9.151976738952516e-09,2.4591439995447217e-14,True,5,summer,2020-06-21,POOL_TOU
10,0.15050127209019526,16.0566893605045,1.1001837667556913e-06,0.1505001956537607,0.14654275744526468,16.05739467823129,4.5878270509232255,2.374733218402092e-08,1.892930256985892e-14,True,5,summer,2020-06-21,POOL_TOU
11,-8.652200478929538,13.612484414146685,-8.785942576177291,0.13374208833548348,0.13000720025939597,16.129485579293547,4.608424451226728,8.912269283678498e-09,2.6700863742235015e-14,True,5,summer,2020-06-21,POOL_TOU
12,0.12950524843996272,11.775287637746915,8.881784197001252e-16,0.12950523749154425,0.12790421198891136,11.775999769065612,3.3645713625901745,1.0948417589196069e-08,2.0631066299792167e-14,True,5,summer,2020-06-21,POOL_TOU
13,0.2330973662608344,9.733946213917415,-5.773159728050814e-15,0.2330974240213924,0.22860158841099357,9.736736787940648,2.781924796554471,5.776055223005727e-08,1.9317880628477724e-14,True,5,summer,2020-06-21,POOL_TOU
14,0.12844773368969278,8.609525018539896,-3.552713678800501e-15,0.12844773285448416,0.12673396097289572,8.610483137740891,2.4601380393545402,8.352121771970644e-10,1.459943277382081e-14,True,5,summer,2020-06-21,POOL_TOU
15,0.11764886565072107,6.879814934254362,-8.43769498715119e-15,0.11764885757745645,0.11673425162169211,6.88082079298223,1.9659487979949228,8.073273050079877e-09,2.4077961846558082e-14,True,5,summer,2020-06-21,POOL_TOU
16,0.09145153142789457,10.476149593328337,1.6653345369377348e-15,0.09145152388888318,0.09008365768343468,10.476548748723399,2.9932996424923997,7.539009722057344e-09,2.135791543622645e-14,True,5,summer,2020-06-21,POOL_TOU
17,0.1978277469521679,14.44238910771381,6.661338147750939e-15,0.19782779251731059,0.19441403982631414,14.443743938342852,4.126783982383672,4.556514934805911e-08,1.9373391779708982e-14,True,5,summer,2020-06-21,POOL_TOU
18,0.09209289641635338,9.736359643703393,-1.2212453270876722e-15,0.09209292271570549,0.09031016210388236,9.736795171565143,2.7819414775900406,2.6299350891489937e-08,2.0997092953223273e-14,True,5,summer,2020-06-21,POOL_TOU
19,0.14022235566494737,9.221429391032862,-5.495603971894525e-15,0.14022234970335612,0.13783837741020802,9.222495449866454,2.634998699961844,5.961596744041842e-09,2.6367796834847468e-14,True,6,summer,2020-06-21,POOL_TOU
20,0.13986506783820893,11.471410049159166,1.1102230246251565e-15,0.13986503008518975,0.13814918609301882,11.47226266929151,3.277789334083289,3.775301807285025e-08,2.3953061756287752e-14,True,5,summer,2020-06-21,POOL_TOU
21,0.07729527850351565,7.479026748833063,4.6074255521944e-15,0.0772952727339886,0.07608790454785785,7.479426159126944,2.136978902607698,5.769522443133113e-09,1.6819878823071122e-14,True,5,summer,2020-06-21,POOL_TOU
22,0.09286601240976683,8.472622028802242,5.551115123125783e-16,0.09286601750631593,0.09076207203443185,8.473130952554982,2.420894557872852,5.096549654526328e-09,2.525757381022231e-14,True,5,summer,2020-06-21,POOL_TOU
23,0.11886005389233015,6.908162078484503,-1.3322676295501878e-15,0.11886004591461316,0.11719758728886583,6.909184540521654,1.9740527258633298,7.977718319285287e-09,2.6256774532384952e-14,True,5,summer,2020-06-21,POOL_TOU
