Date,LegacyMeanWhPerMinute,MinimumHomesPresent,Minutes,AmbientTemperatureC
2020-02-07,157.40679166666666,20,1440,8.80994861111111
2020-02-08,172.94197222222223,20,1440,8.888790972222223
2020-02-09,189.8642222222222,20,1440,10.10961388888889
2020-02-10,179.03621180555555,20,1440,6.093389583333333
2020-02-11,222.32309027777777,20,1440,5.471330555555555
2020-02-12,231.9890034722222,20,1440,6.260474305555556
2020-02-13,190.92344097222224,20,1440,8.364399305555557
2020-02-14,201.96616666666668,20,1440,9.899035416666667
2020-02-15,205.40018055555555,20,1440,9.942425
2020-02-16,201.60549305555554,20,1440,6.775452083333334
2020-02-17,191.2004583333333,20,1440,6.819285416666667
2020-02-18,186.24662847222223,20,1440,7.232818055555556
2020-02-19,219.70531250000002,20,1440,9.404886805555556
2020-02-20,209.51218402777778,20,1440,6.883029166666667
2020-02-21,244.79510069444444,20,1440,10.150729166666666
2020-02-22,230.98406597222223,20,1440,8.974941666666666
2020-02-23,223.731125,20,1440,8.695493055555556
2020-02-24,231.41699652777777,20,1440,9.14670625
2020-02-25,213.74587152777778,20,1440,5.399175694444445
2020-02-26,214.22423958333331,20,1440,5.397095833333333
2020-02-27,205.86322916666666,20,1440,6.122556944444445
2020-02-28,208.40964267917727,20,1440,9.886047916666666
2020-02-29,228.85439204304492,20,1440,5.261157638888889
2020-03-01,188.04860416666665,20,1440,5.703101388888889
2020-03-02,199.25043055555554,20,1440,5.5349868055555556
2020-03-03,199.82438194444444,20,1440,6.024891666666666
2020-03-04,194.2284097222222,20,1440,6.165176388888889
2020-03-05,32.41896527777778,20,1440,5.247101388888889
2020-03-06,155.26714583333333,20,1440,8.315104861111111
2020-03-07,172.09164583333333,20,1440,10.651493055555555
2020-03-08,159.50435416666667,20,1440,8.162875694444445
2020-03-09,172.63425421678616,20,1440,9.787762500000001
2020-03-10,193.42654786654717,20,1440,10.046252083333332
2020-03-11,205.360125,20,1440,7.847711111111111
2020-03-12,230.5521597222222,20,1440,6.853705555555555
2020-03-13,258.7440798611111,20,1440,8.233422222222222
2020-03-14,249.3279201388889,20,1440,9.164922916666667
2020-03-15,244.89198958333336,20,1440,6.911671527777778
2020-03-16,270.38766319444443,20,1440,7.909583333333333
2020-03-17,221.78919444444443,20,1440,10.103220833333333
2020-03-18,240.63919791666666,20,1440,6.424186111111111
2020-03-19,223.2621076388889,20,1440,6.5581659722222225
2020-03-20,225.50624305555556,20,1440,6.085508333333333
2020-03-21,231.44338888888888,20,1440,6.647590972222223
2020-03-22,225.94630902777777,20,1440,8.456255555555556
2020-03-23,227.56045138888888,20,1440,8.767379861111111
2020-03-24,231.46928819444446,20,1440,9.284048611111112
2020-03-25,225.51752430555555,20,1440,10.467770833333333
2020-03-26,198.0232777777778,20,1440,9.433869444444445
2020-03-27,218.2279652777778,20,1440,9.56340138888889
2020-03-28,194.37558912037036,20,1440,9.453663888888888
2020-03-29,196.00708796296297,20,1440,6.07674513888889
2020-03-30,201.25224652777777,20,1440,6.7691638888888885
2020-03-31,212.7652361111111,20,1440,7.919403472222223
2020-04-01,195.72387847222222,20,1440,7.883821527777777
2020-04-02,178.31314930555556,20,1440,9.347491666666667
2020-04-03,208.0837013888889,20,1440,8.523066666666667
2020-04-04,188.5872013888889,20,1440,10.179818055555556
2020-04-05,51.02830208333334,20,1440,11.551879166666666
2020-04-06,159.28904166666666,20,1440,9.369440972222224
2020-04-07,167.09572916666667,20,1440,9.982002777777778
2020-04-08,149.38623611111112,20,1440,9.640711111111111
2020-04-09,167.05267916666668,20,1440,11.981822222222222
2020-04-10,180.42945625,20,1440,12.417208333333333
2020-04-11,204.0844375,20,1440,9.941541666666666
2020-04-12,220.46923958333335,20,1440,8.921243055555555
2020-04-13,197.40728124999998,20,1440,10.794421527777779
2020-04-14,188.06641666666667,20,1440,8.430447916666667
2020-04-15,172.20593055555557,20,1440,8.23436388888889
2020-04-16,184.42272916666664,20,1440,12.109285416666665
2020-04-17,174.70345833333334,20,1440,12.585312499999999
2020-04-18,186.40148958333336,20,1440,12.399368055555556
2020-04-19,176.90522916666666,20,1440,12.28338888888889
2020-04-20,184.27452430555556,20,1440,13.177686805555554
2020-04-21,176.8161736111111,20,1440,9.883327083333333
2020-04-22,175.76010069444445,20,1440,12.866576388888888
2020-04-23,170.60998958333334,20,1440,11.678609722222223
2020-04-24,192.53123263888887,20,1440,11.215260416666666
2020-04-25,174.94387847222222,20,1440,11.611979166666666
2020-04-26,172.01684375,20,1440,10.976930555555557
2020-04-27,170.02671527777778,20,1440,10.328076388888888
2020-04-28,112.36983333333333,20,1440,9.6445125
2020-04-29,37.67928472222222,20,1440,8.093552083333334
2020-04-30,64.32486805555556,20,1440,8.02418125
2020-05-01,211.8225763888889,20,1440,9.473672916666667
2020-05-02,173.83864930555555,20,1440,9.102207638888888
2020-05-03,221.1307673611111,20,1440,11.165000000000001
2020-05-04,189.3403923611111,20,1440,13.60970138888889
2020-05-05,80.17142708333333,20,1440,12.226729166666669
2020-05-06,166.0699826388889,20,1440,12.7104375
2020-05-07,163.82530555555556,20,1440,12.694749999999999
2020-05-08,168.63818055555555,20,1440,13.58288888888889
2020-05-09,184.63455208333335,20,1440,14.267138888888889
2020-05-10,187.095,20,1440,12.4496875
2020-05-11,183.4902290943789,20,1440,8.338989583333333
2020-05-12,234.56171187784332,20,1440,8.719345833333334
2020-05-13,166.09641319444444,20,1440,9.544238888888888
2020-05-14,158.50117013888888,20,1440,8.83223888888889
2020-05-15,161.18048958333333,20,1440,9.740584722222222
2020-05-16,159.70925347222223,20,1440,10.494849305555556
2020-05-17,168.04779861111112,20,1440,12.276826388888889
2020-05-18,170.3068125,20,1440,12.862326388888889
2020-05-19,182.33562847222223,20,1440,12.9449375
2020-05-20,170.23051388888888,20,1440,12.808381944444445
2020-05-21,175.65250694444444,20,1440,12.418444444444445
2020-05-22,179.19190277777778,20,1440,12.257291666666667
2020-05-23,186.3688298611111,20,1440,11.827291666666666
2020-05-24,171.328625,20,1440,12.815333333333335
2020-05-25,166.37097569444444,20,1440,12.33913888888889
2020-05-26,171.99323611111112,20,1440,13.339965277777777
2020-05-27,173.604625,20,1440,13.338472222222224
2020-05-28,157.5256875,20,1440,18.118402777777778
2020-05-29,157.64827430555556,20,1440,17.994555555555557
2020-05-30,159.09682291666667,20,1440,18.162708333333335
2020-05-31,164.7949409722222,20,1440,18.88107638888889
2020-06-01,233.72140972222223,20,1440,16.569652777777776
2020-06-02,173.46017013888888,20,1440,15.674395833333334
2020-06-03,199.90047222222222,20,1440,13.719618055555555
2020-06-04,206.58896875,20,1440,11.782013888888887
2020-06-05,168.20230555555557,20,1440,11.592354166666668
2020-06-06,162.40834375,20,1440,9.947805555555556
2020-06-07,169.72372222222222,20,1440,11.491131944444444
2020-06-08,172.0252361111111,20,1440,11.875256944444443
2020-06-09,207.16684722222223,20,1440,12.084819444444443
2020-06-10,183.770681585703,20,1440,11.584458333333332
2020-06-11,189.35887167110167,20,1440,13.988715277777779
2020-06-12,217.60406479875087,20,1440,13.848625
2020-06-13,151.77322916666668,20,1440,15.078208333333333
2020-06-14,158.56990625,20,1440,14.651263888888888
2020-06-15,156.96430555555557,20,1440,13.914868055555555
