Date,ReleasedProcessedConsumptionKWh,MinimumHomesPresent,MaximumHomesPresent,Minutes,ReleasedGridComplete,ReleasedGridCompleteConsumptionKWh,AmbientTemperatureC
2020-02-25,306.57925,20,20,1440,True,306.57925,5.399175694444445
2020-02-26,308.160555,20,20,1440,True,308.160555,5.397095833333333
2020-02-27,296.801735,20,20,1440,True,296.801735,6.122556944444445
2020-02-28,295.04242999999997,20,20,1440,True,295.04242999999997,9.886047916666666
2020-02-29,332.42197,20,20,1440,True,332.42197,5.261157638888889
2020-03-01,272.248765,20,20,1440,True,272.248765,5.703101388888889
2020-03-02,288.24672,20,20,1440,True,288.24672,5.5349868055555556
2020-03-03,289.15236,20,20,1440,True,289.15236,6.024891666666666
2020-03-04,286.34290000000004,20,20,1440,True,286.34290000000004,6.165176388888889
2020-03-05,41.726324999999996,20,20,1440,True,41.726324999999996,5.247101388888889
2020-03-06,223.168875,20,20,1440,True,223.168875,8.315104861111111
2020-03-07,245.31041,20,20,1440,True,245.31041,10.651493055555555
2020-03-08,230.637675,20,20,1440,True,230.637675,8.162875694444445
2020-03-09,249.632275,20,20,1440,True,249.632275,9.787762500000001
2020-03-10,279.031515,20,20,1440,True,279.031515,10.046252083333332
2020-03-11,293.46116500000005,20,20,1440,True,293.46116500000005,7.847711111111111
2020-03-12,328.8075,20,20,1440,True,328.8075,6.853705555555555
2020-03-13,373.396215,20,20,1440,True,373.396215,8.233422222222222
2020-03-14,359.12007,20,20,1440,True,359.12007,9.164922916666667
2020-03-15,351.08346,20,20,1440,True,351.08346,6.911671527777778
2020-03-16,390.30987,20,20,1440,True,390.30987,7.909583333333333
2020-03-17,320.86638999999997,20,20,1440,True,320.86638999999997,10.103220833333333
2020-03-18,347.09366000000006,20,20,1440,True,347.09366000000006,6.424186111111111
2020-03-19,322.37340500000005,20,20,1440,True,322.37340500000005,6.5581659722222225
2020-03-20,324.06007,20,20,1440,True,324.06007,6.085508333333333
2020-03-21,333.333245,20,20,1440,True,333.333245,6.647590972222223
2020-03-22,325.30103499999996,20,20,1440,True,325.30103499999996,8.456255555555556
2020-03-23,326.72930500000007,20,20,1440,True,326.72930500000007,8.767379861111111
2020-03-24,334.70321499999994,20,20,1440,True,334.70321499999994,9.284048611111112
2020-03-25,325.16864000000004,20,20,1440,True,325.16864000000004,10.467770833333333
2020-03-26,285.671725,20,20,1440,True,285.671725,9.433869444444445
2020-03-27,310.107055,20,20,1440,True,310.107055,9.56340138888889
2020-03-28,282.94566,20,20,1440,True,282.94566,9.453663888888888
2020-03-29,283.21939000000003,20,20,1440,True,283.21939000000003,6.07674513888889
2020-03-30,289.58754000000005,20,20,1440,True,289.58754000000005,6.7691638888888885
2020-03-31,303.911055,20,20,1440,True,303.911055,7.919403472222223
2020-04-01,285.462105,20,20,1440,True,285.462105,7.883821527777777
2020-04-02,254.399125,20,20,1440,True,254.399125,9.347491666666667
2020-04-03,300.40627499999994,20,20,1440,True,300.40627499999994,8.523066666666667
2020-04-04,278.82339,20,20,1440,True,278.82339,10.179818055555556
2020-04-05,68.484015,20,20,1440,True,68.484015,11.551879166666666
2020-04-06,225.67024500000002,20,20,1440,True,225.67024500000002,9.369440972222224
2020-04-07,243.54424,20,20,1440,True,243.54424,9.982002777777778
2020-04-08,214.315845,20,20,1440,True,214.315845,9.640711111111111
2020-04-09,238.327185,20,20,1440,True,238.327185,11.981822222222222
2020-04-10,262.41427500000003,20,20,1440,True,262.41427500000003,12.417208333333333
2020-04-11,293.51988,20,20,1440,True,293.51988,9.941541666666666
2020-04-12,315.35050500000006,20,20,1440,True,315.35050500000006,8.921243055555555
