Month,Day,Score,Selected
3,01-Mar-2013,3.91766229474664,0
4,28-Apr-2013,0.884460163265391,1
4,29-Apr-2013,1.0168645581463,0
4,19-Apr-2013,1.07716985357161,0
4,13-Apr-2013,1.09353605262239,0
4,24-Apr-2013,1.10777243270173,0
4,18-Apr-2013,1.11576938192616,0
4,27-Apr-2013,1.17016066489714,0
4,15-Apr-2013,1.20498634634588,0
4,12-Apr-2013,1.22130901000203,0
4,23-Apr-2013,1.26271021733811,0
4,08-Apr-2013,1.34406939252861,0
4,10-Apr-2013,1.3748487486115,0
4,25-Apr-2013,1.38107017378823,0
4,22-Apr-2013,1.72806676483051,0
4,30-Apr-2013,1.76191699976555,0
4,09-Apr-2013,1.94823206518097,0
4,21-Apr-2013,2.0895427878914,0
4,14-Apr-2013,2.13112647579878,0
4,11-Apr-2013,2.13732762278905,0
4,07-Apr-2013,2.63029254116121,0
4,20-Apr-2013,4.69787934377639,0
4,03-Apr-2013,22.3518314766584,0
4,04-Apr-2013,29.0398209894846,0
4,06-Apr-2013,43.5082786666131,0
4,05-Apr-2013,88.8084164203567,0
4,01-Apr-2013,107.71123558135,0
4,02-Apr-2013,115.649876022222,0
5,21-May-2013,0.867930442754051,1
5,01-May-2013,0.96700737273634,0
5,30-May-2013,0.987898780763788,0
5,15-May-2013,1.05802770098395,0
5,06-May-2013,1.06187273073678,0
5,26-May-2013,1.10643692620652,0
5,12-May-2013,1.12685841653082,0
5,29-May-2013,1.1809092175967,0
5,07-May-2013,1.22661271631287,0
5,02-May-2013,1.24123639736274,0
5,17-May-2013,1.2975936449635,0
5,18-May-2013,1.37496142145717,0
5,20-May-2013,1.42476408780525,0
5,13-May-2013,1.43964433955439,0
5,31-May-2013,1.43966405697904,0
5,19-May-2013,1.47421659010887,0
5,16-May-2013,1.54139342563219,0
5,09-May-2013,1.59789506757139,0
5,10-May-2013,1.59802461788228,0
5,08-May-2013,1.60788055094069,0
5,25-May-2013,1.63472345286238,0
5,05-May-2013,1.64101784340722,0
5,14-May-2013,1.70621990853691,0
5,03-May-2013,1.72515936462779,0
5,24-May-2013,1.74349514696605,0
5,04-May-2013,1.76832388861622,0
5,28-May-2013,1.81685793547185,0
5,11-May-2013,1.88455349105611,0
5,22-May-2013,2.47518418345955,0
5,27-May-2013,2.57254001073749,0
5,23-May-2013,2.98759087482583,0
6,26-Jun-2013,0.878325057313225,1
6,13-Jun-2013,1.16554985816728,0
6,05-Jun-2013,1.31031349797094,0
6,25-Jun-2013,1.37239136808942,0
6,12-Jun-2013,1.45271616124719,0
6,01-Jun-2013,1.47857062171767,0
6,16-Jun-2013,1.52681371746912,0
6,11-Jun-2013,1.54542633597397,0
6,04-Jun-2013,1.56328409378514,0
6,19-Jun-2013,1.56663316070009,0
6,06-Jun-2013,1.58595474108996,0
6,09-Jun-2013,1.62194510050999,0
6,08-Jun-2013,1.65553041304217,0
6,03-Jun-2013,1.69658071078082,0
6,10-Jun-2013,1.74149016790124,0
6,27-Jun-2013,1.75484126743891,0
6,24-Jun-2013,1.77709322224833,0
6,17-Jun-2013,1.90478002625683,0
6,14-Jun-2013,1.96884602371644,0
6,28-Jun-2013,2.04275473853978,0
6,22-Jun-2013,2.16261116178818,0
6,23-Jun-2013,2.21656334191956,0
6,29-Jun-2013,2.37557922646584,0
6,18-Jun-2013,2.46885657208285,0
6,07-Jun-2013,2.9415929907055,0
6,02-Jun-2013,3.05493767807646,0
6,21-Jun-2013,3.06707723783396,0
6,30-Jun-2013,3.30643786075952,0
6,15-Jun-2013,3.9190087428742,0
6,20-Jun-2013,4.94794201692167,0
7,03-Jul-2012,1.07140963362192,1
7,05-Jul-2012,1.15222758557216,0
7,08-Jul-2012,1.18293187707662,0
7,14-Jul-2012,1.23253285074863,0
7,19-Jul-2012,1.36368608892137,0
7,20-Jul-2012,1.39401236845197,0
7,04-Jul-2012,1.41801155591454,0
7,23-Jul-2012,1.55653695392928,0
7,29-Jul-2012,1.57588515460784,0
7,17-Jul-2012,1.61992816865568,0
7,15-Jul-2012,1.64258020212481,0
7,16-Jul-2012,1.66313452535601,0
7,09-Jul-2012,1.70399319330571,0
7,02-Jul-2012,1.78085455762045,0
7,24-Jul-2012,1.79874780820394,0
7,07-Jul-2012,1.93159687004764,0
7,10-Jul-2012,1.94865315797567,0
7,26-Jul-2012,2.02915777246012,0
7,06-Jul-2012,2.06135756540118,0
7,21-Jul-2012,2.07112820469367,0
7,22-Jul-2012,2.11748366539444,0
7,12-Jul-2012,2.12213052212659,0
7,28-Jul-2012,2.20817295968514,0
7,25-Jul-2012,2.38345000304929,0
7,18-Jul-2012,2.43773164383197,0
7,01-Jul-2012,2.47053780158899,0
7,13-Jul-2012,2.63769302533944,0
7,11-Jul-2012,2.67734550637323,0
7,27-Jul-2012,2.89595251996916,0
7,31-Jul-2012,2.95334182864508,0
7,30-Jul-2012,3.43165891937853,0
8,17-Aug-2012,0.981300250410672,1
8,06-Aug-2012,1.08563227389075,0
8,20-Aug-2012,1.13265478625147,0
8,27-Aug-2012,1.17805166831809,0
8,08-Aug-2012,1.25503952855216,0
8,19-Aug-2012,1.2898240027454,0
8,25-Aug-2012,1.3145580875302,0
8,21-Aug-2012,1.33536131975955,0
8,13-Aug-2012,1.45167321577377,0
8,04-Aug-2012,1.47641372192767,0
8,03-Aug-2012,1.5752549575318,0
8,01-Aug-2012,1.60273475053602,0
8,23-Aug-2012,1.62850006272302,0
8,24-Aug-2012,1.67415616530224,0
8,28-Aug-2012,1.6804864390641,0
8,30-Aug-2012,1.68795738863936,0
8,07-Aug-2012,1.6909225872665,0
8,02-Aug-2012,1.72514290179871,0
8,22-Aug-2012,1.74260900191444,0
8,05-Aug-2012,1.7817739189558,0
8,31-Aug-2012,1.8425149461163,0
8,26-Aug-2012,1.85126223522098,0
8,16-Aug-2012,1.90620060864258,0
8,14-Aug-2012,1.92752794636582,0
8,15-Aug-2012,2.14803573608772,0
8,29-Aug-2012,2.19999096418369,0
8,09-Aug-2012,2.53752472066076,0
8,10-Aug-2012,3.50918581952554,0
8,18-Aug-2012,3.67749735962293,0
8,12-Aug-2012,4.07723452879367,0
8,11-Aug-2012,4.72010891153878,0
9,06-Sep-2012,0.890561016237102,1
9,10-Sep-2012,1.12842432470925,0
9,19-Sep-2012,1.23833027644949,0
9,16-Sep-2012,1.35999320696755,0
9,22-Sep-2012,1.41539460856528,0
9,08-Sep-2012,1.55492439104439,0
9,09-Sep-2012,1.57156081132932,0
9,11-Sep-2012,1.65920025774673,0
9,20-Sep-2012,1.66241187407504,0
9,05-Sep-2012,1.67728774892053,0
9,12-Sep-2012,1.70650323655058,0
9,04-Sep-2012,1.77240025964065,0
9,02-Sep-2012,2.06979783233102,0
9,18-Sep-2012,2.08335870140333,0
9,26-Sep-2012,2.33201258724942,0
9,03-Sep-2012,2.4040982436592,0
9,14-Sep-2012,2.42911691551255,0
9,28-Sep-2012,2.46892195793855,0
9,23-Sep-2012,2.54846949726659,0
9,24-Sep-2012,2.6266301073859,0
9,01-Sep-2012,2.83994614143966,0
9,15-Sep-2012,2.98778394822021,0
9,17-Sep-2012,3.04859509463566,0
9,29-Sep-2012,3.33382302750373,0
9,07-Sep-2012,3.45410635305172,0
9,25-Sep-2012,3.96749056501955,0
9,21-Sep-2012,4.05610457854694,0
9,27-Sep-2012,4.25815969293467,0
9,13-Sep-2012,5.97523513844522,0
9,30-Sep-2012,11.8391128197223,0
10,19-Oct-2012,1.10032493152004,1
10,17-Oct-2012,1.12327548376161,0
10,29-Oct-2012,1.17489538635661,0
10,10-Oct-2012,1.17665430767346,0
10,25-Oct-2012,1.23769873811676,0
10,15-Oct-2012,1.23904440506106,0
10,23-Oct-2012,1.25709380611743,0
10,16-Oct-2012,1.42869642410946,0
10,24-Oct-2012,1.47297420784789,0
10,18-Oct-2012,1.48168915647568,0
10,14-Oct-2012,1.54055194559034,0
10,09-Oct-2012,1.54428552818006,0
10,27-Oct-2012,1.66838472078834,0
10,30-Oct-2012,1.70962156746504,0
10,13-Oct-2012,1.72336438034768,0
10,20-Oct-2012,1.95151795332188,0
10,08-Oct-2012,2.01189221514975,0
10,26-Oct-2012,2.04643691611399,0
10,07-Oct-2012,2.07707778932914,0
10,21-Oct-2012,2.9789846922108,0
10,02-Oct-2012,2.9832921732689,0
10,22-Oct-2012,3.07680410613248,0
10,28-Oct-2012,3.11794656084087,0
10,01-Oct-2012,3.31731268630265,0
10,31-Oct-2012,3.49196190289394,0
10,06-Oct-2012,3.51804917772207,0
10,11-Oct-2012,3.61878384461028,0
10,04-Oct-2012,4.52500462163083,0
10,03-Oct-2012,4.55816696962199,0
10,12-Oct-2012,4.56299608746793,0
10,05-Oct-2012,4.85951575640735,0
11,12-Nov-2012,1.06578308830457,1
11,13-Nov-2012,1.09071152733413,0
11,04-Nov-2012,1.15906724678415,0
11,22-Nov-2012,1.30408354364329,0
11,05-Nov-2012,1.32104617632077,0
11,21-Nov-2012,1.36902048260074,0
11,17-Nov-2012,1.43399284136949,0
11,07-Nov-2012,1.6328973659731,0
11,19-Nov-2012,1.65498886796636,0
11,06-Nov-2012,1.72017983069405,0
11,11-Nov-2012,1.83523838780459,0
11,10-Nov-2012,1.85171105952849,0
11,03-Nov-2012,1.89311705714942,0
11,27-Nov-2012,1.92643689856398,0
11,20-Nov-2012,2.06817746344338,0
11,02-Nov-2012,2.1407597543869,0
11,01-Nov-2012,2.21679852642466,0
11,14-Nov-2012,2.40383015720134,0
11,09-Nov-2012,2.45912788263275,0
11,08-Nov-2012,2.4782332800994,0
11,23-Nov-2012,2.59322116749411,0
11,24-Nov-2012,2.5964915416605,0
11,28-Nov-2012,2.61655215921411,0
11,15-Nov-2012,2.81748503980292,0
11,26-Nov-2012,3.13756307335506,0
11,25-Nov-2012,3.18664290014477,0
11,29-Nov-2012,3.96275355939714,0
11,16-Nov-2012,4.00036896198929,0
11,18-Nov-2012,5.12487930143599,0
11,30-Nov-2012,6.58942671145803,0
12,21-Dec-2012,0.936374214955679,1
12,08-Dec-2012,1.11695481711985,0
12,13-Dec-2012,1.17005518232603,0
12,27-Dec-2012,1.20940935214354,0
12,29-Dec-2012,1.21655962484907,0
12,22-Dec-2012,1.27184809812546,0
