Experiment,Month,Day,Sequence,Strategy,Alpha,RequestedCapKW,EffectiveCapKW,P0KW,PminKW,Status,ErrorIdentifier,ErrorMessage,WallTimeSeconds,AcceptancePassed,AcceptanceMessage,BaselineBillEUR,OptimizedBillEUR,SavingsEUR,SavingsPercent,BaselinePeakImportKW,PeakImportKW,DaytimePeakImportKW,ImportSpreadKW,TotalGridImportKWh,TotalBatteryThroughputKWh,TotalCurtailedPvKWh,TotalSharedExportKWh,EnergyBalanceResidualKW,TerminalSocErrorKWh,SimultaneousChargeDischargeKW,ExitFlags,MinimumExitFlag
frontier,9,06-Sep-2012,2,IMPROVED_PEAK_GUARD,1,61.284,61.284,61.284,61.284,ok,,,31.6342365833333,1,,81.495705,21.2447683944767,60.2509366055233,73.9314257181078,61.284,61.284,4.4353409833775e-13,61.2840000000003,233.458993345898,690.005961865541,0,186.83989530311,1.48375756126029e-12,0,0,1;1,1
frontier,9,06-Sep-2012,3,IMPROVED_PEAK_GUARD,0.75,61.284,61.284,61.284,61.284,ok,,,32.3046442916667,1,,81.495705,21.2447683944767,60.2509366055233,73.9314257181078,61.284,61.284,4.4353409833775e-13,61.2840000000003,233.458993345898,690.005961865541,0,186.83989530311,1.48375756126029e-12,0,0,1;1,1
frontier,9,06-Sep-2012,4,IMPROVED_PEAK_GUARD,0.5,61.284,61.284,61.284,61.284,ok,,,31.7762816666667,1,,81.495705,21.2447683944767,60.2509366055233,73.9314257181078,61.284,61.284,4.4353409833775e-13,61.2840000000003,233.458993345898,690.005961865541,0,186.83989530311,1.48375756126029e-12,0,0,1;1,1
frontier,9,06-Sep-2012,5,IMPROVED_PEAK_GUARD,0.25,61.284,61.284,61.284,61.284,ok,,,32.126674875,1,,81.495705,21.2447683944767,60.2509366055233,73.9314257181078,61.284,61.284,4.4353409833775e-13,61.2840000000003,233.458993345898,690.005961865541,0,186.83989530311,1.48375756126029e-12,0,0,1;1,1
frontier,9,06-Sep-2012,6,IMPROVED_PEAK_GUARD,0,61.284,61.284001,61.284,61.284,ok,,,19.8472645416667,1,,81.495705,21.2447683944766,60.2509366055233,73.9314257181079,61.284,61.284,4.44089209850063e-15,61.284,233.458993345897,690.005961865541,0.00411658532977772,186.781086941262,1.04249942012302e-13,0,0,1;1,1
frontier,12,21-Dec-2012,2,IMPROVED_PEAK_GUARD,1,59.6,59.6,59.6,45.3550880841733,ok,,,8.47236333333333,1,,81.66197,43.246847803409,38.415122196591,47.041630512454,59.6,59.6,2.08166817117217e-15,59.6,475.240085751747,394.0720353286,0,85.7281164194037,2.88657986402541e-15,0,0,1;1,1
frontier,12,21-Dec-2012,3,IMPROVED_PEAK_GUARD,0.75,56.0387720210433,56.0387720210433,59.6,45.3550880841733,ok,,,7.82223075,1,,81.66197,43.2517851850757,38.4101848149242,47.0355843912708,59.6,56.0387720210433,1.4432899320127e-15,56.0387720210433,475.29434269314,397.8206961041,0,83.755137194109,2.22044604925031e-15,0,0,1;1,1
frontier,12,21-Dec-2012,4,IMPROVED_PEAK_GUARD,0.5,52.4775440420867,52.4775440420867,59.6,45.3550880841733,ok,,,11.071942,1,,81.66197,43.2567225667425,38.4052474332575,47.0295382700876,59.6,52.4775440420867,1.77635683940025e-15,52.4775440420867,475.348599634534,401.569356879591,0,81.7821579688244,2.66453525910038e-15,0,0,1;1,1
frontier,12,21-Dec-2012,5,IMPROVED_PEAK_GUARD,0.25,48.91631606313,48.91631606313,59.6,45.3550880841733,ok,,,10.4226334166667,1,,81.66197,43.2645123382259,38.3974576617741,47.0199992258013,59.6,48.91631606313,1.77635683940025e-15,48.91631606313,475.434201518966,407.483667901204,0,78.6693628997556,4.44089209850063e-15,0,0,1;1,1
frontier,12,21-Dec-2012,6,IMPROVED_PEAK_GUARD,0,45.3550880841733,45.3550890841733,59.6,45.3550880841733,ok,,,10.7835321666667,1,,81.66197,43.2970988197835,38.3648711802165,46.9800951167557,59.6,45.3550890841734,2.22044604925031e-15,45.3550890841734,475.792294722896,421.404984614116,0,73.5795035610949,6.21724893790088e-15,0,0,1;1,1
