Experiment,Month,Day,Sequence,Strategy,Alpha,RequestedCapKW,EffectiveCapKW,P0KW,PminKW,Status,ErrorIdentifier,ErrorMessage,WallTimeSeconds,AcceptancePassed,AcceptanceMessage,BaselineBillEUR,OptimizedBillEUR,SavingsEUR,SavingsPercent,BaselinePeakImportKW,PeakImportKW,DaytimePeakImportKW,ImportSpreadKW,TotalGridImportKWh,TotalBatteryThroughputKWh,TotalCurtailedPvKWh,TotalSharedExportKWh,EnergyBalanceResidualKW,TerminalSocErrorKWh,SimultaneousChargeDischargeKW,ExitFlags,MinimumExitFlag
primary,4,28-Apr-2013,3,IMPROVED_PEAK_GUARD,NaN,58.578,58.578,58.578,NaN,ok,,,7.89018741666667,1,,87.747783,34.4893473180202,53.2584356819798,60.6949074508011,58.578,58.578,7.40361125777245e-05,58.578,379.003774781983,580.830669795006,0,109.471291584619,1.40238697847388e-14,0,0,1;1,1
primary,5,21-May-2013,1,SH_BM,NaN,NaN,NaN,61.492,NaN,ok,,,3.613523875,1,,106.182233,62.991350225651,43.190882774349,40.6761861698171,61.492,118.732066481994,25.655,118.732066481994,630.776306243418,651.233191113144,49.7587609099799,0,2.66453525910038e-15,0,0,1;1,1
primary,5,21-May-2013,2,VPP_BM,NaN,NaN,NaN,61.492,NaN,ok,,,12.8556297916667,1,,106.182233,53.5913416719303,52.5908913280697,49.528899366874,61.492,130.9070043672,0.000125243334905129,130.9070043672,588.915771669215,698.871054846254,0,77.9093107067526,1.4210854715202e-14,0,0,1;1,1
primary,5,21-May-2013,3,IMPROVED_PEAK_GUARD,NaN,61.492,61.492,61.492,NaN,ok,,,21.1295350833333,1,,106.182233,53.5913416719303,52.5908913280697,49.528899366874,61.492,61.492,0.000125243335381553,61.492,588.915771669215,698.871054846254,0,77.9093107067524,5.32907051820075e-15,0,0,1;1,1
primary,6,26-Jun-2013,1,SH_BM,NaN,NaN,NaN,87.322,NaN,ok,,,7.43258804166667,1,,154.243455,118.04198411419,36.2014708858097,23.4703449075422,87.322,181.506653739612,46.936,181.434653739612,1066.84949304055,706.588021649573,1.55337087695626,0,2.66453525910038e-15,0,0,1;1,1
primary,6,26-Jun-2013,2,VPP_BM,NaN,NaN,NaN,87.322,NaN,ok,,,31.9849100416667,1,,154.243455,107.899467631977,46.3439873680228,30.0459992730471,87.322,208.582526315789,38.70217,208.582526315789,1080.60391780599,837.373051219248,0,122.806551409752,2.25375273998907e-14,0,0,1;1,1
primary,6,26-Jun-2013,3,IMPROVED_PEAK_GUARD,NaN,87.322,87.322,87.322,NaN,ok,,,16.283858,1,,154.243455,107.899467631977,46.3439873680227,30.0459992730471,87.322,87.3220000000001,36.74671,87.3220000000001,1080.60391780599,837.373051219246,0,122.806551409751,4.49640324973188e-15,0,0,1;1,1
primary,7,03-Jul-2012,1,SH_BM,NaN,NaN,NaN,101.162,NaN,ok,,,7.17837329166667,1,,149.832299,103.536369573276,46.2959294267243,30.898497677543,101.162,142.534786703601,57.042,142.534786703601,918.955571629403,717.737265734279,54.1573172035655,0,2.99760216648792e-15,0,0,1;1,1
primary,7,03-Jul-2012,2,VPP_BM,NaN,NaN,NaN,101.162,NaN,ok,,,20.3097225416667,1,,149.832299,87.7608124248242,62.0714865751759,41.4273070555874,101.162,165.885578947368,46.752,165.885578947368,880.760408102159,831.99976785781,0,144.266902465906,1.88737914186277e-14,0,0,1;1,1
primary,7,03-Jul-2012,3,IMPROVED_PEAK_GUARD,NaN,101.162,101.162,101.162,NaN,ok,,,8.42963870833333,1,,149.832299,87.7608124248239,62.0714865751761,41.4273070555876,101.162,101.162,52.796,101.162,880.76040810216,831.999767857817,0,144.266902465909,3.90798504668055e-14,0,0,1;1,1
