Dataset,Day,PeakGuardCapKW,VppBillEUR,PeakGuardBillEUR,BillPenaltyEUR,BillPenaltyPercentOfVpp,VppPaperSavingsPercent,PeakGuardPaperSavingsPercent,PaperSavingsSacrificePercentagePoints,VppEngineeringSavingsPercent,PeakGuardEngineeringSavingsPercent,EngineeringSavingsSacrificePercentagePoints,VppAllDayPeakKW,PeakGuardAllDayPeakKW,PeakReductionKW,PeakReductionPercent,VppPeakExcessOverCapKW,PeakGuardPeakExcessOverCapKW,PeakGuardCapViolationKW,VppCreatesNewPeak,PeakGuardCapSatisfied,VppDaytimePeakKW,PeakGuardDaytimePeakKW,DaytimePeakChangeKW,VppLoadRangeKW,PeakGuardLoadRangeKW,LoadRangeReductionKW,VppGridImportKWh,PeakGuardGridImportKWh,GridImportChangeKWh,VppBatteryThroughputKWh,PeakGuardBatteryThroughputKWh,BatteryThroughputChangeKWh,VppPvCurtailmentKWh,PeakGuardPvCurtailmentKWh,PvCurtailmentChangeKWh,VppEnergyBalanceResidualKW,PeakGuardEnergyBalanceResidualKW,VppTerminalSocErrorKWh,PeakGuardTerminalSocErrorKWh,VppSimultaneousChargeDischargeKW,PeakGuardSimultaneousChargeDischargeKW
StoreNet,16-Mar-2020,23.714525,43.856646698458,46.6679041273649,2.8112574289069,6.41010574346019,27.5914397677742,22.9499744895713,4.6414652782029,24.2373097049596,19.3808411429572,4.8564685620024,77.0285757894737,23.714525,53.3140507894737,69.2133409491901,53.3140507894737,0,0,1,1,19.95403,21.1832105,1.2291805,77.0285757894737,23.406957,53.6216187894737,391.95615910125,386.414793543118,-5.54136555813204,319.999883991754,250.39656393817,-69.603320053584,NaN,0,NaN,1.55431223447522e-15,8.88178419700125e-16,0,0,0,0
StoreNet,01-Apr-2020,21.5824885,28.7443043798138,31.3625864747744,2.6182820949606,9.10887270174934,34.9296727432513,29.0024994668224,5.9271732764289,32.6786803970001,26.5464670932251,6.132213303775,80.4415042105263,21.5824885,58.8590157105263,73.1699590754597,58.8590157105263,0,0,1,1,9.67147209088808,10.70199,1.03051790911192,80.4415042105263,21.5824885,58.8590157105263,295.229114463229,289.37225938028,-5.85685508294898,320.148630334972,250.890507371979,-69.258122962993,NaN,0,NaN,1.33226762955019e-15,1.99840144432528e-15,0,0,0,0
StoreNet,02-Apr-2020,17.432523,20.1439120378291,22.2490445306858,2.1051324928567,10.4504650780016,47.039327933569,41.5046913941918,5.5346365393772,40.7798329096026,34.5910500286865,6.18878288091609,64.8598303878116,17.432523,47.4273073878116,73.1227743030363,47.4273073878116,0,0,1,1,3.33066907387547e-16,9.77674827997898,9.77674827997898,64.8598303878116,17.432523,47.4273073878116,221.361670745374,217.83375764271,-3.527913102664,222.789140172513,194.600715778992,-28.188424393521,NaN,0,NaN,8.88178419700125e-16,1.31006316905768e-14,0,0,0,0
StoreNet,15-Apr-2020,17.2670585,13.2411445276038,13.2411445276038,0,0,65.3969900885501,65.39699008855,9.9475983006414e-14,57.3538210500171,57.353821050017,1.06581410364015e-13,43.4498102726345,17.2670585,26.1827517726345,60.2597608789212,26.1827517726345,0,0,1,1,5.55111512312578e-16,9.99200722162641e-16,4.44089209850063e-16,43.4498102726345,17.2670585000001,26.1827517726344,145.507082720921,145.507082720921,0,163.936634781614,163.936634781604,-1.00044417195022e-11,NaN,0,NaN,9.43689570931383e-16,1.14352971536391e-13,0,0,0,0
StoreNet,16-Apr-2020,14.3783125,17.0873928899223,19.0959971951454,2.0086043052231,11.75489039295,57.8120495459045,52.8529022109934,4.9591473349111,47.2836186986351,41.0868658575299,6.1967528411052,47.4889244782776,14.3783125,33.1106119782776,69.7228087223223,33.1106119782776,0,0,1,1,2.63677968348475e-16,7.9170485,7.9170485,47.4889244782776,14.3783125,33.1106119782776,187.773548240904,185.444480614152,-2.32906762675199,204.874065035833,159.487954904557,-45.386110131276,NaN,0,NaN,1.49880108324396e-15,1.0547118733939e-13,0,0,0,0
StoreNet,01-May-2020,22.565423,34.5149644927198,35.8590827941071,1.3441183013873,3.89430590800931,29.4196480353263,26.6710332188721,2.7486148164542,28.478831257334,25.693578157511,2.785253099823,79.8157942105263,22.565423,57.2503712105263,71.7281232076946,57.2503712105263,0,0,1,1,13.55112,14.83122,1.2801,79.8157942105263,22.565423,57.2503712105263,318.953210535899,315.946541116278,-3.00666941962101,319.999908702084,284.445703646664,-35.55420505542,NaN,0,NaN,1.99840144432528e-15,1.77635683940025e-15,0,0,0,0
StoreNet,02-May-2020,18.5347365,22.5323642826615,25.702142558253,3.1697782755915,14.0676683362102,38.0784683505594,29.3675526494149,8.7109157011445,34.3235451854383,25.0843993471449,9.2391458382934,72.4546278265372,18.5347365,53.9198913265372,74.4188369245733,53.9198913265372,0,0,1,1,2.12607709215717e-14,10.2099861299744,10.2099861299744,72.4546278265372,18.5347365,53.9198913265372,247.608398710566,242.071473983263,-5.53692472730302,250.105953724243,180.194512673738,-69.911441050505,NaN,0,NaN,2.22044604925031e-14,3.99680288865056e-15,0,0,0,0
StoreNet,15-May-2020,14.622626,11.0638236526886,11.0638236526886,0,0,68.1887730929689,68.1887730929689,0,58.5758556566478,58.5758556566478,0,26.4239437617729,14.622626,11.8013177617729,44.6614550355109,11.8013177617729,0,0,1,1,6.10622663543836e-16,8.88178419700125e-16,2.77555756156289e-16,26.4239437617729,14.622626,11.8013177617729,121.580479699875,121.580479699875,0,118.64186480508,118.641864805084,3.99325017497176e-12,NaN,0,NaN,1.55431223447522e-15,8.88178419700125e-16,0,0,0,0
StoreNet,16-May-2020,13.4446845,17.3467138009628,20.6241063528262,3.2773925518634,18.8934491539342,50.2287753251685,40.8252742979387,9.4035010272298,40.492909037513,29.2499670635301,11.2429419739829,55.0748693534775,13.4446845,41.6301848534775,75.5883497177083,41.6301848534775,0,0,1,1,4.44089209850063e-16,8.9704024,8.9704024,55.0748693534775,13.4446845,41.6301848534775,190.623228582009,186.394331609929,-4.22889697208001,189.060549007571,137.223430507098,-51.837118500473,NaN,0,NaN,8.88178419700125e-16,2.66453525910038e-15,0,0,0,0
StoreNet,01-Jun-2020,25.7949115,32.6468087518901,33.2087578234598,0.5619490715697,1.7212986293405,37.9957108126617,36.9284318327478,1.0672789799139,33.9883768062632,32.852119641024,1.1362571652392,57.9190731578947,25.7949115,32.1241616578947,55.4638738267102,32.1241616578947,0,0,1,1,12.628087,14.7120254259567,2.0839384259567,57.9190731578948,25.7949115,32.1241616578948,323.968312218777,322.711284077112,-1.25702814166499,323.80922328021,308.944691313775,-14.864531966435,NaN,0,NaN,2.22044604925031e-15,7.32747196252603e-15,0,0,0,0
StoreNet,02-Jun-2020,17.7709165,23.8512933073022,28.9121324155444,5.0608391082422,21.2183005887265,34.4644998355011,20.5589804182723,13.9055194172288,33.9055519819584,19.8814333290306,14.0241186529278,58.3253767112622,17.7709165,40.5544602112622,69.531415822697,40.5544602112622,0,0,1,1,2.78703182350348e-05,13.8495385,13.8495106296818,58.3253767112622,17.7160172941177,40.6093594171445,262.102092710543,253.209733211084,-8.89235949945899,287.270457364074,162.092612537272,-125.177844826802,NaN,0,NaN,6.21724893790088e-15,4.44089209850063e-15,0,0,0,0
