Day,CapRatio,CapKW,Status,Feasible,BillEUR,PeakKW,NightPeakKW,DaytimePeakKW,PaperSavingsPercent,EngineeringSavingsPercent,BatteryThroughputKWh,CapViolationKW,BillPenaltyVsVppEUR,BillPenaltyPercentOfVpp,PaperSavingsSacrificePP,PeakReductionVsVppKW,PeakReductionVsVppPercent,PeakReductionVsLexKW,BillPenaltyVsLexEUR,MarginalCostEURPerKW,MarginalCostReferenceRatio,IsKnee,KneeChordDistance,MaximumRelativeMipGapPercent,WallTimeSeconds,EnergyBalanceResidualKW,TerminalSocErrorKWh
2020-02-16,1.25,22.163751875,ok,1,30.0074392466637,22.163751875,22.163751875,11.169615,32.9352689211943,28.6177580293149,258.640505750249,7.105427357601e-15,2.3196783788242,8.37799195787841,5.1843346373671,52.0772639144737,70.1462168326871,3.2294415728029,2.3196783788242,0.523304536142349,1.5,0,0.248962449281875,0,1.064040125,8.21565038222616e-15,0
2020-02-16,1,17.7310015,ok,1,33.4461965590834,17.7310015,17.7310015,15.0292,25.2498635619768,20.4375796230253,183.392302864217,7.105427357601e-15,5.7584356912439,20.7977659108309,12.8697399965846,56.5100142894737,76.1169734661497,7.6621919478029,5.7584356912439,0.775761552424368,1.25,0,0.149262451825552,7.28394988429817e-15,0.586613,1.75970349403087e-14,0
2020-02-16,0.9,15.95790135,ok,1,34.9371079693021,15.95790135,15.95790135,15.706749,21.917770744368,16.8909724578398,149.703323163089,8.88178419700125e-15,7.2493471014626,26.1824967936754,16.2018328141934,58.2831144394737,78.5052761195347,9.4352920978029,7.2493471014626,0.840850084085041,1,0,0.101472702803637,0,0.596715833333333,1.08801856413265e-14,0
2020-02-16,0.8,14.1848012,ok,1,36.4280193795208,14.1848012,14.1848012,14.1848012,18.5856779267593,13.3443652926543,116.014343461964,1.06581410364015e-14,8.7402585116813,31.56722767652,19.5339256318021,60.0562145894737,80.8935787729198,11.2083922478029,8.7402585116813,0.840850084085042,0.9,0,0.0536829537817207,7.80215689918984e-16,0.622075416666667,7.105427357601e-15,0
2020-02-16,0.7,12.41170105,ok,1,38.004916545448,12.41170105,12.41170105,12.41170105,15.0614123770557,9.59321364869593,82.3239965389018,7.105427357601e-15,10.3171556776085,37.2625136675184,23.0581911815057,61.8293147394737,83.2818814263048,12.9814923978029,10.3171556776085,0.889344668955783,0.8,0,0,0,1.28495625,1.32005517627931e-13,0
2020-02-16,0.6,10.6386009,infeasible,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0.123839875,NaN,NaN
2020-02-16,0.5,8.86550075,infeasible,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0.105232041666667,NaN,NaN
2020-03-01,2,35.137915,ok,1,23.6884277515283,35.137915,35.137915,4.44089209850063e-16,43.3350698801991,38.0321207217296,293.904715593718,7.105427357601e-15,0,0,0,44.0861139631067,55.6474021078086,-11.1237142121993,0,NaN,NaN,0,0,0,2.06633491666667,4.71844785465692e-15,0
2020-03-01,1.5,26.35343625,ok,1,23.6884277515283,26.35343625,26.35343625,6.66133814775094e-16,43.335069880199,38.0321207217296,293.904715593696,3.5527136788005e-15,0,0,9.9475983006414e-14,52.8705927131067,66.7355515808564,-2.3392354621993,0,0,2,0,0.27196414661021,0,1.32296208333333,4.44089209850063e-15,0
2020-03-01,1.25,21.961196875,ok,1,25.1630817499467,21.961196875,21.961196875,7.49474670632478,39.8075598804747,34.1744910846037,254.898462559053,3.5527136788005e-15,1.4746539984184,6.22520841773999,3.5275099997244,57.2628320881067,72.2796263173803,2.0530039128007,1.4746539984184,0.335740808393075,1.5,1,0.296326812190552,0,1.547945625,3.88578058618805e-14,0
2020-03-01,1,17.5689575,ok,1,28.5984743882579,17.5689575,17.5689575,12.2011295,31.5897800503455,25.1876558873799,186.693207457245,0,4.9100466367296,20.7276172493669,11.7452898298536,61.6550714631067,77.8237010539043,6.4452432878007,4.9100466367296,0.782150594492861,1.25,0,0.172277385224018,0,0.736039458333333,1.55431223447522e-15,0
2020-03-01,0.9,15.81206175,ok,1,30.075760327374,15.81206175,15.81206175,14.3705905,28.0559742028225,21.3231412097976,153.3121120585,7.105427357601e-15,6.3873325758457,26.9639363272373,15.2790956773766,63.4119672131067,80.0413309485139,8.2021390378007,6.3873325758457,0.840850084085012,1,0,0.114851590149345,4.44923116100193e-15,0.863386583333333,2.22044604925031e-15,0
2020-03-01,0.8,14.055166,ok,1,31.5530462664901,14.055166,14.055166,14.055166,24.5221683552994,17.4586265322151,119.931016659737,8.88178419700125e-15,7.8646185149618,33.2002554051077,18.8129015248997,65.1688629631067,82.2589608431234,9.9590347878007,7.8646185149618,0.840850084085012,0.9,0,0.0574257950746725,3.31777335928512e-14,0.845718708333333,2.22044604925031e-15,0
