Day,Strategy,ReferenceKind,BillEUR,ReferenceBillEUR,BillRelativeDifference,PeakKW,ReferencePeakKW,PeakRelativeDifference,CapDifferenceKW,Tolerance,Passed
2020-07-01,VPP_BM,formal,31.8873578981091,31.8873578981091,0,83.0496542105263,83.0496542105263,0,NaN,1e-06,1
2020-07-01,PS,formal,44.5771385286542,44.5771385286542,0,13.0958934333868,13.0958934333868,0,NaN,1e-06,1
2020-07-02,VPP_BM,formal,29.3756687771134,29.3756687771134,0,71.0451615789474,71.0451615789474,0,NaN,1e-06,1
2020-07-02,PS,formal,40.9477487165193,40.9477487165193,0,11.9730391778568,11.9730391778568,0,NaN,1e-06,1
2020-07-15,VPP_BM,formal,17.7412893216537,17.7412893216537,0,55.8467308911616,55.8467308911616,0,NaN,1e-06,1
2020-07-15,PS,formal,26.6296696415213,26.6296696415213,0,7.78645345352493,7.78645345352493,0,NaN,1e-06,1
2020-07-16,VPP_BM,formal,11.5959731824045,11.5959731824045,0,35.679758294816,35.679758294816,0,NaN,1e-06,1
2020-07-16,PS,formal,15.6430502793134,15.6430502793134,0,6.85476093834032,6.85476093834032,0,NaN,1e-06,1
2020-08-01,VPP_BM,formal,32.7646726384706,32.7646726384706,0,75.9613042105263,75.9613042105263,0,NaN,1e-06,1
2020-08-01,PS,formal,45.5194837221975,45.5194837221975,0,13.375510152828,13.375510152828,0,NaN,1e-06,1
2020-08-02,VPP_BM,formal,30.3277250281859,30.3277250281859,0,76.9028042105263,76.9028042105263,0,NaN,1e-06,1
2020-08-02,PS,formal,40.9191209320882,40.9191209320882,0,12.5852065948434,12.5852065948434,0,NaN,1e-06,1
2020-08-15,VPP_BM,formal,21.8601326413552,21.8601326413552,0,64.9591884398177,64.9591884398177,0,NaN,1e-06,1
2020-08-15,PS,formal,32.5403874804996,32.5403874804996,0,9.51473318143264,9.51473318143264,0,NaN,1e-06,1
2020-08-16,VPP_BM,formal,25.092780421743,25.092780421743,0,83.6087942105263,83.6087942105263,0,NaN,1e-06,1
2020-08-16,PS,formal,37.1026656784773,37.1026656784773,0,10.9697648593253,10.9697648593253,0,NaN,1e-06,1
2020-09-01,VPP_BM,formal,28.5873706448978,28.5873706448978,0,77.1378942105263,77.1378942105263,0,NaN,1e-06,1
2020-09-01,PS,formal,41.6710854948707,41.6710854948707,0,12.2501663283757,12.2501663283757,0,NaN,1e-06,1
2020-09-02,VPP_BM,formal,28.7912416483675,28.7912416483675,0,59.4894631578947,59.4894631578947,0,NaN,1e-06,1
2020-09-02,PS,formal,40.1391167099794,40.1391167099794,0,12.2977293399586,12.2977293399586,0,NaN,1e-06,1
2020-09-15,VPP_BM,formal,23.0739729405111,23.0739729405111,0,66.6778972853186,66.6778972853186,0,NaN,1e-06,1
2020-09-15,PS,formal,34.6108998591036,34.6108998591036,0,10.2044579936292,10.2044579936292,0,NaN,1e-06,1
2020-09-16,VPP_BM,formal,19.8305222142361,19.8305222142361,0,69.0526443541996,69.0526443541996,0,NaN,1e-06,1
2020-09-16,PS,formal,29.5805318709188,29.5805318709188,0,8.97324795018815,8.97324795018815,0,NaN,1e-06,1
2020-10-01,VPP_BM,formal,32.2329812695915,32.2329812695915,0,75.72607,75.72607,0,NaN,1e-06,1
2020-10-01,PS,formal,44.3005046357335,44.3005046357335,0,12.958038929949,12.958038929949,0,NaN,1e-06,1
2020-10-02,VPP_BM,formal,33.1322791031013,33.1322791031013,0,80.0874342105263,80.0874342105263,0,NaN,1e-06,1
2020-10-02,PS,formal,44.451144315383,44.451144315383,0,13.0498523682468,13.0498523682468,0,NaN,1e-06,1
2020-10-15,VPP_BM,formal,15.4257732578337,15.4257732578337,0,45.3461080722706,45.3461080722706,0,NaN,1e-06,1
2020-10-15,PS,formal,20.953359020388,20.953359020388,0,8.89464838946476,8.89464838946476,0,NaN,1e-06,1
2020-10-16,VPP_BM,formal,14.8479063532246,14.8479063532246,0,38.9394832770083,38.9394832770083,0,NaN,1e-06,1
2020-10-16,PS,formal,20.4082477378769,20.4082477378769,0,8.3647385469563,8.3647385469563,0,NaN,1e-06,1
2020-11-01,VPP_BM,formal,37.8367923380125,37.8367923380125,0,78.9344292105263,78.9344292105263,0,NaN,1e-06,1
2020-11-01,PS,formal,48.7960348448809,48.7960348448809,0,14.2801447708911,14.2801447708911,0,NaN,1e-06,1
2020-11-02,VPP_BM,formal,22.9526985249528,22.9526985249528,0,69.8769425761773,69.8769425761773,0,NaN,1e-06,1
2020-11-02,PS,formal,33.5206035888881,33.5206035888881,0,10.5368672121707,10.5368672121707,0,NaN,1e-06,1
2020-11-15,VPP_BM,formal,32.4388994138802,32.4388994138802,0,75.8006984210526,75.8006984210526,0,NaN,1e-06,1
2020-11-15,PS,formal,42.2258857454636,42.2258857454636,0,12.5209369532528,12.5209369532528,0,NaN,1e-06,1
2020-11-16,VPP_BM,formal,33.4319611204415,33.4319611204415,0,81.8506094736842,81.8506094736842,0,NaN,1e-06,1
2020-11-16,PS,formal,44.3776864377186,44.3776864377186,0,13.1626407969887,13.1626407969887,0,NaN,1e-06,1
2020-12-01,VPP_BM,formal,34.9289150694838,34.9289150694838,0,69.8011815789474,69.8011815789474,0,NaN,1e-06,1
2020-12-01,PS,formal,46.1823838522407,46.1823838522407,0,13.6537696814836,13.6537696814836,0,NaN,1e-06,1
2020-12-02,VPP_BM,formal,26.5041915757837,26.5041915757837,0,75.8724942105263,75.8724942105263,0,NaN,1e-06,1
2020-12-02,PS,formal,38.8533450212253,38.8533450212253,0,12.0750356373561,12.0750356373561,0,NaN,1e-06,1
2020-01-02,IMPROVED_PEAK_GUARD,peak_guard_v1,29.6009349896882,29.6009349896882,0,18.175861,18.175861,0,0,1e-06,1
2020-01-15,IMPROVED_PEAK_GUARD,peak_guard_v1,32.226033512877,32.226033512877,0,22.857254,22.857254,0,0,1e-06,1
2020-01-16,IMPROVED_PEAK_GUARD,peak_guard_v1,39.1521338324814,39.1521338324814,0,30.6840095,30.6840095,0,0,1e-06,1
2020-02-01,IMPROVED_PEAK_GUARD,peak_guard_v1,29.8935324749582,29.8935324749582,0,20.613763,20.613763,0,0,1e-06,1
2020-02-02,IMPROVED_PEAK_GUARD,peak_guard_v1,31.5271988409193,31.5271988409193,0,16.6183245,16.6183245,0,0,1e-06,1
2020-02-15,IMPROVED_PEAK_GUARD,peak_guard_v1,33.196431735773,33.196431735773,0,21.9325045,21.9325045,0,0,1e-06,1
2020-02-16,IMPROVED_PEAK_GUARD,peak_guard_v1,33.4461965590834,33.4461965590835,3.18665263405172e-15,17.7310015,17.7310015,0,0,1e-06,1
2020-03-01,IMPROVED_PEAK_GUARD,peak_guard_v1,28.5984743882579,28.5984743882579,0,17.5689575,17.5689575,0,0,1e-06,1
2020-03-02,IMPROVED_PEAK_GUARD,peak_guard_v1,31.6989637039705,31.6989637039705,0,17.902966,17.902966,0,0,1e-06,1
2020-03-15,IMPROVED_PEAK_GUARD,peak_guard_v1,28.1080554355915,28.1080554355915,0,24.77737,24.77737,0,0,1e-06,1
2020-03-16,IMPROVED_PEAK_GUARD,peak_guard_v1,46.6679041273649,46.6679041273649,0,23.714525,23.714525,0,0,1e-06,1
2020-04-01,IMPROVED_PEAK_GUARD,peak_guard_v1,31.3625864747744,31.3625864747744,0,21.5824885,21.5824885,0,0,1e-06,1
2020-04-02,IMPROVED_PEAK_GUARD,peak_guard_v1,22.2490445306857,22.2490445306858,4.4710226935461e-15,17.432523,17.432523,0,0,1e-06,1
2020-04-15,IMPROVED_PEAK_GUARD,peak_guard_v1,13.2411445276038,13.2411445276038,0,17.2670585,17.2670585,0,0,1e-06,1
2020-04-16,IMPROVED_PEAK_GUARD,peak_guard_v1,19.0959971951454,19.0959971951454,0,14.3783125,14.3783125,0,0,1e-06,1
2020-05-01,IMPROVED_PEAK_GUARD,peak_guard_v1,35.8590827941071,35.8590827941071,0,22.565423,22.565423,0,0,1e-06,1
2020-05-02,IMPROVED_PEAK_GUARD,peak_guard_v1,25.702142558253,25.702142558253,0,18.5347365,18.5347365,0,0,1e-06,1
2020-05-15,IMPROVED_PEAK_GUARD,peak_guard_v1,11.0638236526886,11.0638236526886,0,14.622626,14.622626,0,0,1e-06,1
2020-05-16,IMPROVED_PEAK_GUARD,peak_guard_v1,20.6241063528262,20.6241063528262,0,13.4446845,13.4446845,0,0,1e-06,1
2020-06-01,IMPROVED_PEAK_GUARD,peak_guard_v1,33.2087578234598,33.2087578234598,0,25.7949115,25.7949115,0,0,1e-06,1
2020-06-02,IMPROVED_PEAK_GUARD,peak_guard_v1,28.9121324155444,28.9121324155444,0,17.7709165,17.7709165,0,0,1e-06,1
2020-06-15,IMPROVED_PEAK_GUARD,peak_guard_v1,12.0590333708069,12.0590333708069,0,14.4712795,14.4712795,0,0,1e-06,1
2020-06-16,IMPROVED_PEAK_GUARD,peak_guard_v1,22.8600846250926,22.8600846250926,0,14.727853,14.727853,0,0,1e-06,1
2020-07-01,IMPROVED_PEAK_GUARD,peak_guard_v1,37.3269465180422,37.3269465180422,0,21.141624,21.141624,0,0,1e-06,1
2020-07-02,IMPROVED_PEAK_GUARD,peak_guard_v1,30.241691078165,30.241691078165,0,24.4455305,24.4455305,0,0,1e-06,1
2020-07-15,IMPROVED_PEAK_GUARD,peak_guard_v1,20.9431907244883,20.9431907244883,0,13.431552,13.431552,0,0,1e-06,1
2020-07-16,IMPROVED_PEAK_GUARD,peak_guard_v1,11.5959731824045,11.5959731824045,0,13.8189275,13.8189275,0,0,1e-06,1
2020-08-01,IMPROVED_PEAK_GUARD,peak_guard_v1,35.2447946167791,35.2447946167791,0,24.74936,24.74936,0,0,1e-06,1
2020-08-02,IMPROVED_PEAK_GUARD,peak_guard_v1,32.1440798745694,32.1440798745694,0,23.2809665,23.2809665,0,0,1e-06,1
2020-08-15,IMPROVED_PEAK_GUARD,peak_guard_v1,24.4757806146257,24.4757806146257,0,18.28414,18.28414,0,0,1e-06,1
