Day,DemandChargeEURPerKW,Status,Feasible,P0KW,BillEUR,PeakKW,NightPeakKW,ObjectiveWithDemandChargeEUR,PaperSavingsPercent,BillPenaltyVsVppEUR,PaperSavingsSacrificePP,PeakReductionVsVppKW,PeakRatioToP0,PeakAtOrBelowP0,PeakAtOrBelowLex,VppTotalCostUnderTariffEUR,TotalCostSavingVsVppUnderTariffEUR,FrontierLowerBoundCapRatio,FrontierLowerBoundBillEUR,GapAboveFrontierLowerBoundEUR,ConsistentWithFrontier,MaximumRelativeMipGapPercent
2020-05-02,1,ok,1,18.5347365,31.7306477475894,11.518780629102,11.518780629102,43.2494283766914,12.8005262070294,9.1982834649279,25.27794214353,60.9358471974352,0.621469888665641,1,1,94.9869921091987,51.7375637325073,0.7,30.4456180704997,1.2850296770897,1,0
2020-05-15,0.05,ok,1,14.622626,11.0667899669088,10.2651481872216,10.2651481872216,11.5800473762698,68.1802442066004,0.00296631422020077,0.00852888636849514,16.1587955745513,0.70200442705856,1,1,12.3850208407772,0.804973464507444,0.8,11.0638236526886,0.00296631422020077,1,4.82576279459766e-15
2020-05-15,0.1,ok,1,14.622626,11.0667899634858,10.265148183802,10.265148183802,12.093304781866,68.1802442164422,0.00296631079720022,0.00852887652669665,16.1587955779709,0.702004426824703,1,1,13.7062180288659,1.61291324699989,0.8,11.0638236526886,0.00296631079720022,1,0
2020-05-15,0.2,ok,1,14.622626,11.066789957495,10.2651481778172,10.2651481778172,13.1198195930585,68.1802442336673,0.00296630480640125,0.00852885930160596,16.1587955839557,0.702004426415419,1,1,16.3486124050432,3.22879281198468,0.8,11.0638236526886,0.00296630480640125,1,1.03577339303755e-14
2020-05-15,0.5,ok,1,14.622626,11.066789944312,10.2651481646474,10.2651481646474,16.1993640266357,68.1802442715717,0.0029662916233999,0.00852882139720634,16.1587955971255,0.702004425514774,1,1,24.275795533575,8.07643150693935,0.8,11.0638236526886,0.0029662916233999,1,0
2020-05-15,1,ok,1,14.622626,12.5283657957444,8.69637307070776,8.69637307070776,21.2247388664522,63.977852538723,1.4645421430558,4.2109205542459,17.7275706910651,0.594720337558231,1,1,37.4877674144615,16.2630285480093,0.6,12.4558298570479,0.0725359386964985,1,0
2020-05-16,0.05,ok,1,13.4446845,17.3467055207121,17.4231206090243,17.4231206090243,18.2178615511633,50.2287990828799,-8.28025070020999e-06,-2.37577116024568e-05,37.6517487444532,1.29591145177295,0,0,20.1004572686367,1.88259571747338,1.5,17.3467055284812,-7.76909914179669e-09,1,0
2020-05-16,0.1,ok,1,13.4446845,17.3467055137122,17.4231206013321,17.4231206013321,19.0890175738454,50.2287991029639,-8.28725059776048e-06,-2.37777955973684e-05,37.6517487521454,1.29591145120081,0,0,22.8542007363105,3.76518316246515,1.5,17.3467055284812,-1.47689966922826e-08,1,0
2020-05-16,0.2,ok,1,13.4446845,17.3467055016043,17.4231205880267,17.4231205880267,20.8313296192096,50.2287991377039,-8.2993584982205e-06,-2.38125356020191e-05,37.6517487654508,1.29591145021117,0,0,28.3616876716583,7.5303580524487,1.5,17.3467055284812,-2.68768971523059e-08,1,3.36728684118925e-14
2020-05-16,0.5,ok,1,13.4446845,17.3467054755852,17.4231205594343,17.4231205594343,26.0582657553024,50.2287992123578,-8.32537759976049e-06,-2.38871894993054e-05,37.6517487940432,1.29591144808451,0,0,44.8841484777016,18.8258827223992,1.5,17.3467055284812,-5.28959986922928e-08,1,0
2020-05-16,1,ok,1,13.4446845,23.3659025890647,10.2465377174849,10.2465377174849,33.6124403065496,32.9585072519027,6.0191887881019,17.2702680732656,44.8283316359926,0.762125561033797,1,1,72.4215831544403,38.8091428478907,0.8,22.9184650431491,0.447437545915598,1,1.17127772043182e-07
2020-06-01,0.05,ok,1,25.7949115,32.6468088847763,26.5772537631579,26.5772537631579,33.9756715729342,37.9957105602782,1.32886199821769e-07,2.52383600241046e-07,31.3418193947368,1.03032932534612,0,0,35.5427624097848,1.56709083685063,1.25,32.6468087518901,1.32886199821769e-07,1,0
2020-06-01,0.1,ok,1,25.7949115,32.6468090176625,26.5772537631579,26.5772537631579,35.3045343939783,37.9957103078948,2.65772399643538e-07,5.04767001530126e-07,31.3418193947368,1.03032932534612,0,0,38.4387160676796,3.13418167370127,1.25,32.6468087518901,2.65772399643538e-07,1,0
2020-06-01,0.2,ok,1,25.7949115,32.646809283436,26.5772537631579,26.5772537631579,37.9622600360676,37.9957098031258,5.31545900628316e-07,1.00953599968534e-06,31.3418193947368,1.03032932534612,0,0,44.230623383469,6.26836334740144,1.25,32.6468087518901,5.31545900628316e-07,1,0
2020-06-01,0.5,ok,1,25.7949115,32.6468100807529,26.5772537631579,26.5772537631579,45.9354369623318,37.9957082888257,1.32886280113098e-06,2.52383609478102e-06,31.3418193947368,1.03032932534612,0,0,61.6063453308374,15.6709083685056,1.25,32.6468087518901,1.32886280113098e-06,1,0
2020-06-01,1,ok,1,25.7949115,43.179346511774,13.7905564434458,13.7905564434458,56.9699029552198,17.9918408447406,10.5325377598839,20.0038699679212,44.1285167144489,0.534623134622726,1,1,90.5658819097848,33.595978954565,0.6,41.5775780415716,1.6017684702024,1,0
2020-06-02,0.05,ok,1,17.7709165,23.8512936166608,24.3592202533351,24.3592202533351,25.0692546293276,34.4644989854854,3.09358600958376e-07,8.50015702269502e-07,33.9661564579271,1.37073517020549,0,1,26.7675621428653,1.69830751353771,1.5,23.8512933073022,3.09358600958376e-07,1,0
2020-06-02,0.1,ok,1,17.7709165,23.851293976054,24.35921975299,24.35921975299,26.287215951353,34.4644979979913,6.68751798826861e-07,1.83750979942943e-06,33.9661569582722,1.37073514205021,0,1,29.6838309784284,3.39661502707542,1.5,23.8512933073022,6.68751798826861e-07,1,0
2020-06-02,0.2,ok,1,17.7709165,23.8512969026972,24.3592156785337,24.3592156785337,28.723140038404,34.4644899565394,3.59539500038863e-06,9.87896169846181e-06,33.9661610327285,1.37073491277356,0,1,35.5163686495546,6.79322861115064,1.5,23.8512933073022,3.59539500038863e-06,1,5.02382401774183e-08
2020-06-02,0.5,ok,1,17.7709165,23.8513027782343,24.359207498644,24.359207498644,36.0309065275562,34.4644738124984,9.4709320990205e-06,2.60230027038233e-05,33.9661692126182,1.37073445247711,0,1,53.0139816629333,16.9830751353771,1.5,23.8512933073022,9.4709320990205e-06,1,0
2020-06-02,1,ok,1,17.7709165,34.085957243542,11.7287592965206,11.7287592965206,45.8147165400627,6.34301344752028,10.2346639362398,28.1214863879808,46.5966174147416,0.65999743437659,1,1,82.1766700185644,36.3619534785017,0.7,33.4458365966858,0.640120646856197,1,5.38844051285464e-07
2020-06-15,0.05,ok,1,14.4712795,12.0744227896601,11.518840722154,11.518840722154,12.6503648257678,64.7798608687212,0.0153894188532,0.0448897212397981,23.3895251504222,0.795979424082991,1,1,13.8044516644357,1.15408683866791,0.8,12.0738507876186,0.000572002041499431,1,0
2020-06-15,0.1,ok,1,14.4712795,12.0744227821881,11.518840713943,11.518840713943,13.2263068535824,64.7798608905165,0.0153894113812001,0.0448896994444965,23.3895251586332,0.795979423515592,1,1,15.5498699580645,2.32356310448212,0.8,12.0738507876186,0.000571994569499523,1,0
2020-06-15,0.2,ok,1,14.4712795,12.0744227692635,11.5188406997401,11.5188406997401,14.3781909092116,64.7798609282165,0.0153893984566,0.0448896617445058,23.3895251728361,0.795979422534137,1,1,19.0407065453221,4.66251563611054,0.8,12.0738507876186,0.000571981644899466,1,0
2020-06-15,0.5,ok,1,14.4712795,12.0744227414894,11.5188406692195,11.5188406692195,17.8338430760991,64.7798610092314,0.0153893706825006,0.0448895807296026,23.3895252033567,0.795979420425091,1,1,29.513216307095,11.6793732309959,0.8,12.0738507876186,0.000571953870800002,1,0
2020-06-15,1,ok,1,14.4712795,14.4755453344614,8.75240314060447,8.75240314060447,23.2279484750659,57.7759757495442,2.4165119636545,7.0487748404168,26.1559627319717,0.604811975375396,1,1,46.9673992433831,23.7394507683172,0.7,13.2704736335494,1.205071700912,1,0
